macarrones@harina,cuchara,arena,litro

harina@mandarina,alcohol,trigo,hoja


trigo@campo,líquido,árbol,azul


campo@puerto,huerto,lluvia,espera


huerto@pintar,subir,regar,dormir


regar@antena,sudar,estrella,agua


agua@chaqueta,té,mantequilla,cesta


té@sordo,crudo,caliente,salado


caliente@desierto,valiente,hielo,lento


desierto@verde,arena,despierto,fértil


arena@ancha,valiente,arroz,cemento


cemento@albañil,zapatero,carpintero,carnicero


albañil@sartén,ala,bicicleta,pala


pala@documento,profesión,herramienta,alimento


herramienta@dormir,trabajar,acompañar,preguntar


trabajar@llamador,hablador,recibidor,conductor


conductor@autobús,profesor,restaurante,doctor


autobús@redondo,rápido,vestido,volador


rápido@largo,caro,caracol,rayo


rayo@nieve,mano,radio,trueno


trueno@música,debajo,lluvia,silbar


lluvia@inundación,incendio,terremoto,bombero


inundación@ahogado,quemado,abogado,construir


ahogado@regado,pagado,apagado,muerto


muerto@encontrar,despertar,llorar,tuerto


llorar@pagar,reír,viajar,ocupar


reír@freír,pasillo,oír,payaso


payaso@circo,camarero,charco,oficina


circo@león,ballena,gallina,cinco

----

cortar@cantar,escalera,tijera,contar

tijera@tenedor,nevera,madera,cuchillo


cuchillo@apagado,dormido,despistado,cuidado


cuidado@atento,dirección,candado,ciudad


atento@perdido,despierto,dirección,dormido


despierto@despertador,desierto,después,delantero


despertador@motor,reloj,ventilador,mueble


reloj@calentar,responder,buscar,sonar


sonar@comprar,sudar,levantar,soñar


levantar@desayunar,encerrar,merendar,bajar


desayunar@caminar,entrar,comer,doler


comer@leche,carne,jabón,toser


carne@muda,lenta,metro,cruda


cruda@medicina,pintura,encima,sangre


sangre@herida,amarilla,fiebre,amable


herida@robar,sudar,callar,curar


curar@camarera,comprar,enfermera,cortar


enfermera@hostal,escuela,hospital,oficina


hospital@hotel,autobús,capital,ambulancia


ambulancia@sirena,manguera,escalera,semáforo


sirena@despacio,ruido,silencio,equivocado


ruido@libro,hormiga,redondo,avión


avión@nadar,caminar,volar,soplar


volar@canguro,pájaro,tren,árbol


pájaro@pierna,pelo,persona,pluma


pluma@ligera,rápida,vacía,pesada


ligera@seda,roca,vaca,gorda


seda@mesa,zapato,gafas,pañuelo


pañuelo@bonito,amargo,cocido,nacido

---

cama@sábana,paraguas,cantar,contar

sábana@bufanda,semana,nevera,manta


manta@plástico,enfriar,lana,beber


lana@vaca,oveja,rana,cabra


oveja@oreja,pescado,harina,leche


leche@café,aceite,coche,sal


café@cuchillo,sartén,taza,limón


taza@cazador,camionero,panadero,camarero


camarero@bandeja,carretilla,sierra,pala


bandeja@partir,llevar,abrir,apagar


llevar@gorro,nevar,sudar,llover


gorro@hambre,sed,frío,sueño


frío@sofá,semáforo,agosto,invierno


invierno@rápido,hielo,caliente,silencio


hielo@negro,líquido,lleno,duro


duro@ladrillo,dentro,perro,grande


ladrillo@débil,blando,fuerte,redondo


fuerte@fuente,elefante,gato,suerte


elefante@colmillo,elegante,melena,saltar


colmillo@cola,solomillo,diente,palillo


diente@color,dolor,respirar,pensar


dolor@dormir,curar,comida,pasear


curar@comprar,café,querer,medicina


medicina@volar,viajar,tomar,llamar


tomar@cortar,oscuro,soplar,bebida


bebida@valiente,caliente,rota,ancha


caliente@llorar,correr,soplar,comprar


soplar@viajar,escribir,enfriar,ayudar


enfriar@confiar,estatura,sepultura,temperatura
